#{"t_start": 1683711024.0167513, "env_id": "TestEnvironment-v1"}
r,l,t
0.859361,100,2.634021
0.265717,100,50.434648
0.330409,100,50.94062
1.001535,100,51.544809
1.054494,100,52.081969
1.003425,100,52.646098
0.278216,100,53.217529
0.188336,100,53.739179
4.009432,100,54.293753
0.023273,100,54.833227
0.20949,100,55.405629
0.871703,100,55.934316
2.28907,100,56.43805
0.037369,100,56.974954
0.614133,100,57.53292
42.740073,100,58.078411
26.03615,100,58.648806
0.375167,100,59.16441
0.12882,100,59.694261
0.529764,100,60.195307
0.675683,100,60.761126
41.790205,100,61.314996
74.450149,100,61.916252
81.610008,100,62.535091
0.059747,100,63.093484
0.021547,100,63.720318
14.18206,100,64.307976
0.015066,100,64.850983
0.141742,100,65.370082
10.403729,100,65.915378
0.002812,100,66.452035
78.526726,100,66.977625
2.305624,100,67.488051
7.302189,100,68.026109
13.282558,100,68.581939
2.675005,100,69.067976
0.723949,100,69.571442
0.324001,100,70.065265
0.542431,100,70.573007
0.273943,100,71.073659
8.924178,100,71.583902
17.12645,100,72.125375
2.782987,100,72.631065
14.474091,100,73.206177
0.781781,100,73.753052
75.923647,100,74.351514
3.6e-05,100,74.925828
2.738025,100,75.470422
3.966785,100,76.015473
0.9844,100,76.52454
16.226827,100,77.072154
4.613943,100,77.581704
0.000182,100,78.174867
4.965633,100,78.741028
0.081134,100,79.24962
1.980965,100,79.805722
0.260713,100,80.366897
5.136999,100,80.865431
0.023511,100,81.361147
7.008397,100,81.870087
1.494702,100,82.393427
4.169722,100,82.941756
9.041525,100,83.542307
2.569009,100,84.060662
53.8622,100,84.588039
0.976301,100,85.093515
21.917608,100,85.566779
2.397915,100,86.132598
3.744261,100,86.670363
2.697174,100,87.193325
85.883364,100,87.693526
85.863298,100,88.282658
0.482496,100,88.773878
2.951638,100,89.305728
6.826069,100,89.8258
5.358039,100,90.347007
5.282029,100,90.879624
0.134364,100,91.469707
0.000226,100,92.033193
23.200171,100,92.526235
51.530742,100,93.062818
2.562356,100,93.572013
2.562575,100,94.094707
0.491512,100,94.572088
1.336057,100,95.079692
26.900417,100,95.62522
10.243417,100,96.178489
2.93137,100,96.74642
82.433581,100,97.26702
0.185376,100,97.779477
72.384702,100,98.284991
2.82044,100,98.752362
67.932689,100,99.270469
2.602084,100,99.791732
10.204707,100,100.340338
4.952901,100,100.875662
4.819655,100,101.410377
13.230354,100,101.950317
1.360567,100,102.475389
6.20563,100,102.996827
68.699347,100,103.52759
87.825854,100,104.072242
29.713165,100,104.570123
89.106576,100,105.1064
12.259714,100,105.596736
2.268302,100,106.100488
0.008218,100,106.65138
0.132082,100,107.182206
0.675091,100,107.693066
0.358214,100,108.166747
0.353851,100,108.655327
69.91742,100,109.178992
1.672212,100,109.688646
0.287198,100,110.188604
3.000785,100,110.752063
9.699976,100,111.285039
51.255542,100,111.80378
61.113417,100,112.382247
4.465106,100,112.951015
13.630433,100,113.45189
87.579356,100,113.998546
2.402298,100,114.511792
27.294512,100,115.049678
68.59024,100,115.594774
7.845402,100,116.120973
20.760337,100,116.643999
0.348757,100,117.17794
22.353058,100,117.690127
0.446882,100,118.204058
0.308748,100,118.673459
34.923112,100,119.196683
20.937531,100,119.696491
2.924371,100,120.186151
4.010043,100,120.665316
0.085508,100,121.147351
6.129306,100,121.673979
0.884063,100,122.19129
0.951873,100,122.708592
1.778348,100,123.230513
62.852011,100,123.772895
83.311281,100,124.329051
1.220296,100,124.868228
3.540008,100,125.420337
23.071955,100,125.869684
0.24597,100,126.392855
1.440221,100,126.881221
2.68413,100,127.419945
16.779865,100,127.899566
0.500128,100,128.429136
0.622822,100,128.943124
11.747342,100,129.471774
0.211272,100,129.999356
0.223275,100,130.516778
27.078441,100,131.061185
62.841739,100,131.562132
31.53326,100,132.06117
9.602206,100,132.528136
1.195239,100,133.065861
1.794508,100,133.634873
1.112951,100,134.146267
85.355871,100,134.695036
3.26868,100,135.198436
57.424935,100,135.811797
56.15323,100,136.357805
27.536711,100,136.867934
39.073508,100,137.36989
30.213117,100,137.881638
22.140731,100,138.38149
39.754532,100,138.900571
82.299189,100,139.427735
1.488588,100,139.888374
0.177129,100,140.409928
50.667984,100,140.893133
6.35488,100,141.364329
2.721945,100,141.890578
16.280069,100,142.454401
82.61521,100,143.021318
6.839496,100,143.514952
74.172281,100,144.035551
3.120058,100,144.550126
26.821001,100,145.134943
80.149926,100,145.661191
3.914138,100,146.166504
7.696423,100,146.691282
70.623015,100,147.272014
62.527337,100,147.786415
26.046737,100,148.32774
22.884095,100,148.854701
0.304128,100,149.43404
82.691669,100,149.961945
4.937175,100,150.463338
27.08781,100,150.94552
4.00982,100,151.42614
24.461848,100,151.890443
11.308301,100,152.355276
6.008016,100,152.814945
18.020711,100,153.354705
62.577633,100,153.860648
0.033245,100,154.373916
3.09321,100,154.888861
3.785306,100,155.406344
29.569752,100,155.958454
74.606602,100,156.50016
44.307106,100,156.993069
8.047639,100,157.486457
2.415147,100,158.005297
29.031571,100,158.529557
37.781606,100,159.04111
43.064284,100,159.567546
12.539129,100,160.077768
1.367594,100,160.577042
3.714746,100,161.08105
6.152536,100,161.607787
4.37775,100,162.092
9.138045,100,162.595684
16.176162,100,163.112928
9.02645,100,163.703552
20.137802,100,164.27626
4.746906,100,164.774871
18.354644,100,165.30408
52.431116,100,165.857765
3.876095,100,166.372729
0.416356,100,166.88312
59.290831,100,167.401482
77.934552,100,167.934293
41.956613,100,168.432936
44.029221,100,168.95616
16.987682,100,169.523423
22.030263,100,170.099262
7.346841,100,170.611298
83.144082,100,171.132869
49.493347,100,171.66345
2.13405,100,172.160038
6.153852,100,172.661617
1.225382,100,173.193503
0.284991,100,173.726297
31.871653,100,174.225266
14.769994,100,174.733921
17.067523,100,175.263596
80.056452,100,175.771872
52.135515,100,176.310285
32.500687,100,176.800075
28.30573,100,177.285775
18.77757,100,177.735888
87.164626,100,178.260813
7.805982,100,178.8449
17.628472,100,179.38304
22.424038,100,179.883803
23.200508,100,180.41256
81.624742,100,181.009834
18.096319,100,181.538435
24.630871,100,182.057484
45.39782,100,182.600038
1.447674,100,183.113659
26.740154,100,183.576475
0.124548,100,184.040691
52.475472,100,184.509656
46.332061,100,185.011013
0.183114,100,185.547922
67.903274,100,186.11517
44.627384,100,186.689723
3.953444,100,187.201655
87.056582,100,187.705785
84.81779,100,188.203461
75.753016,100,188.690554
18.891002,100,189.184915
55.883848,100,189.655164
1.082117,100,190.14944
34.325272,100,190.626432
22.066146,100,191.071815
64.641548,100,191.567216
25.520263,100,192.068424
5.000155,100,192.60287
67.706803,100,193.147343
15.072336,100,193.676596
73.83036,100,194.181346
19.451185,100,194.718618
20.181781,100,195.195961
38.274877,100,195.684911
30.721997,100,196.181675
3.892672,100,196.685912
32.855464,100,197.188317
38.776355,100,197.6661
42.017621,100,198.139438
83.59947,100,198.630071
7.732994,100,199.090667
31.475918,100,199.549167
55.196665,100,200.055644
0.832016,100,200.562107
29.448556,100,201.032704
46.486525,100,201.498788
22.799034,100,201.989929
51.531505,100,202.464852
10.920236,100,202.933338
25.013815,100,203.409322
1.426776,100,203.917439
5.080494,100,204.428982
42.202648,100,204.918381
9.625482,100,205.425398
31.554818,100,205.9077
33.815784,100,206.381982
43.243547,100,206.834154
40.32897,100,207.333558
24.882574,100,207.814124
40.208111,100,208.32731
36.256688,100,208.827567
69.812264,100,209.321495
82.035184,100,209.836337
24.031604,100,210.321114
58.161741,100,210.844477
70.493439,100,211.373471
40.927629,100,211.853638
11.622169,100,212.371715
11.043162,100,212.836831
32.373733,100,213.324047
6.508155,100,213.823408
83.138386,100,214.330818
58.384987,100,214.862766
19.163962,100,215.350228
85.806844,100,215.896969
65.208812,100,216.386788
76.230669,100,216.904939
47.356735,100,217.429498
21.640531,100,217.941118
83.879648,100,218.471482
41.282644,100,219.042138
26.874478,100,219.601105
44.357518,100,220.097736
54.368586,100,220.59843
78.2702,100,221.102663
20.964459,100,221.60073
37.435834,100,222.06493
8.195942,100,222.564518
15.704788,100,223.06633
22.664577,100,223.582224
19.884796,100,224.116082
79.983952,100,224.612468
59.366827,100,225.124787
17.661082,100,225.629569
59.367863,100,226.148691
39.256089,100,226.664504
21.044265,100,227.205296
78.891061,100,227.78538
25.38688,100,228.253646
49.699473,100,228.75672
19.528856,100,229.260617
35.235413,100,229.773661
47.351238,100,230.261242
40.870491,100,230.75482
21.224312,100,231.350483
17.730442,100,231.870406
72.538609,100,232.363628
40.960045,100,232.872701
29.242733,100,233.356405
83.919334,100,233.861269
73.776013,100,234.475266
39.185642,100,234.952892
72.013921,100,235.473181
29.738973,100,235.995261
33.93824,100,236.503649
61.796114,100,237.028472
84.96241,100,237.574958
39.686577,100,238.066611
28.772083,100,238.633489
74.775396,100,239.135114
42.209622,100,239.661179
40.586605,100,240.184398
15.164624,100,240.707774
34.992069,100,241.209784
64.171307,100,241.724691
27.737762,100,242.247518
56.277224,100,242.759802
17.034236,100,243.251954
21.835041,100,243.755996
74.199528,100,244.224671
46.493911,100,244.696669
56.81656,100,245.172345
44.818456,100,245.665494
43.102482,100,246.121741
39.511284,100,246.597344
53.476198,100,247.102224
70.258888,100,247.577798
16.049126,100,248.065382
72.028118,100,248.547619
52.714241,100,249.044066
73.884385,100,249.531955
73.382958,100,250.021827
59.000827,100,250.497206
36.326992,100,250.995622
31.393096,100,251.511304
40.218546,100,251.999715
38.195174,100,252.481436
32.296417,100,252.982063
36.314044,100,253.467982
77.951074,100,253.960945
69.510687,100,254.482393
38.709395,100,255.008034
72.124851,100,255.538843
65.747762,100,256.056647
29.930874,100,256.558079
50.83714,100,257.059281
38.624045,100,257.540669
43.907858,100,258.01716
41.268153,100,258.495659
56.05893,100,258.982653
44.844001,100,259.508629
82.243361,100,259.977993
74.479553,100,260.439631
74.921819,100,260.949653
66.740749,100,261.424142
33.245095,100,261.932276
54.349989,100,262.460976
53.872484,100,262.928421
51.891311,100,263.378179
63.979713,100,263.828718
75.247332,100,264.332076
75.549515,100,264.839894
37.58985,100,265.335145
59.231134,100,265.811724
51.272785,100,266.311177
38.866333,100,266.780773
63.791665,100,267.254447
78.818128,100,267.769704
68.367322,100,268.249286
60.072992,100,268.732914
66.075315,100,269.198478
75.353724,100,269.721666
42.59929,100,270.206372
37.720418,100,270.715136
29.555932,100,271.195558
81.540953,100,271.659956
78.686823,100,272.144348
51.92152,100,272.601239
38.376442,100,273.067952
77.106007,100,273.565389
67.49554,100,274.075465
47.20172,100,274.544221
72.501256,100,275.013644
60.472163,100,275.529407
27.425425,100,276.017956
36.944487,100,276.546302
41.498789,100,277.019494
65.196503,100,277.530198
50.631543,100,277.997037
41.860013,100,278.488898
68.695525,100,278.97991
44.019384,100,279.476415
63.738573,100,279.966929
39.273834,100,280.441704
57.368627,100,280.922003
23.628442,100,281.413884
36.070211,100,281.87932
74.509919,100,282.353329
44.684799,100,282.822735
50.453801,100,283.302063
68.372135,100,283.781519
67.861986,100,284.253758
60.600414,100,284.748493
46.584539,100,285.279281
46.19453,100,285.781106
8.879129,100,286.271083
31.592357,100,286.745035
84.558536,100,287.246711
61.454853,100,287.735556
47.110776,100,288.20942
44.451079,100,288.672318
36.923213,100,289.14134
71.64474,100,289.691182
42.12016,100,290.197345
10.999105,100,290.679644
79.818388,100,291.182458
22.896356,100,291.692526
69.985873,100,292.162201
55.665321,100,292.633233
28.29485,100,293.094636
82.571935,100,293.575477
60.007601,100,294.053012
65.060003,100,294.581609
64.66719,100,295.059036
70.453657,100,295.624375
64.050964,100,296.123847
39.999372,100,296.619141
85.024447,100,297.14972
71.492109,100,297.660488
49.625974,100,298.180681
52.650425,100,298.692908
70.303334,100,299.185997
55.275088,100,299.677883
78.12252,100,300.173557
66.822246,100,300.690135
53.013991,100,301.18398
76.192577,100,301.726155
43.517968,100,302.213735
65.589171,100,302.736697
48.726637,100,303.22571
82.079775,100,303.715042
68.132179,100,304.214601
45.641305,100,304.716707
75.290296,100,305.209709
71.847801,100,305.707125
17.944731,100,306.201273
68.288573,100,306.698771
81.282354,100,307.190735
40.109476,100,307.706369
44.538935,100,308.215381
69.22084,100,308.765135
78.228645,100,309.267424
72.756175,100,309.79181
84.066029,100,310.297473
45.279349,100,310.765901
37.934567,100,311.264182
82.214692,100,311.750251
83.188642,100,312.246317
45.405245,100,312.746373
50.157509,100,313.214046
78.036799,100,313.754604
78.604484,100,314.263216
39.42117,100,314.787367
60.175147,100,315.250656
72.617059,100,315.71878
26.834799,100,316.179883
44.665837,100,316.683877
47.289566,100,317.178391
45.42796,100,317.657696
83.186315,100,318.148924
51.83088,100,318.615178
49.052423,100,319.097612
72.686938,100,319.551389
44.907987,100,320.044326
72.610166,100,320.532226
54.673804,100,321.008862
58.434474,100,321.523162
50.579819,100,322.099989
64.67529,100,322.578907
73.476778,100,323.093851
57.637865,100,323.582394
37.534445,100,324.087079
51.528977,100,324.632711
83.676421,100,325.243508
64.311439,100,325.760734
33.733932,100,326.266285
72.700428,100,326.777119
80.03393,100,327.266521
64.102583,100,327.736094
80.913585,100,328.224499
66.325318,100,328.723974
48.993286,100,329.246356
84.700797,100,329.745327
69.165728,100,330.19776
59.036943,100,330.672018
80.836164,100,331.195677
84.444176,100,331.69701
66.741752,100,332.174662
76.492493,100,332.670759
52.876659,100,333.146216
49.365244,100,333.654291
48.69303,100,334.158436
58.756293,100,334.621176
62.311623,100,335.100017
51.954895,100,335.571806
64.15409,100,336.057726
69.302865,100,336.538924
72.336935,100,337.022179
55.69357,100,337.494209
39.080475,100,338.005035
42.333838,100,338.503619
70.693934,100,339.079357
71.951172,100,339.658487
43.447356,100,340.162134
79.377628,100,340.671092
65.888484,100,341.231138
0.028848,100,341.755384
80.217879,100,342.267072
57.856234,100,342.775071
78.37367,100,343.273109
69.584698,100,343.777833
56.745845,100,344.252015
51.628869,100,344.762408
84.24299,100,345.309685
77.245444,100,345.893626
81.654845,100,346.466547
37.612015,100,346.975445
70.286196,100,347.463197
47.01951,100,348.036911
52.703785,100,348.547506
50.146546,100,349.087306
28.217736,100,349.591667
58.141483,100,350.111428
57.874627,100,350.577601
60.202805,100,351.174991
61.035388,100,351.664687
54.628897,100,352.138717
37.503995,100,352.602273
73.574617,100,353.12684
58.841207,100,353.633907
68.605539,100,354.142633
75.370506,100,354.707336
73.370875,100,355.257647
55.172618,100,355.794724
60.774026,100,356.293557
64.713867,100,356.843997
83.856466,100,357.373245
53.212574,100,357.872581
57.198521,100,358.377643
40.630293,100,358.906519
81.44967,100,359.393717
71.278129,100,359.954609
84.982074,100,360.512127
52.539687,100,361.021842
48.435499,100,361.542947
49.175226,100,362.074722
75.989881,100,362.721715
68.293395,100,363.264645
49.853408,100,363.836092
52.067354,100,364.392416
57.132497,100,364.88979
49.706755,100,365.391488
74.603661,100,365.871794
42.442698,100,366.344299
54.619162,100,366.810744
44.50048,100,367.302248
46.43859,100,367.809628
43.214024,100,368.318052
49.035154,100,368.802822
68.054406,100,369.305258
78.502502,100,369.815446
47.554985,100,370.315701
62.365167,100,370.825865
51.305125,100,371.358984
37.93345,100,371.898389
82.410872,100,372.458637
54.359451,100,372.978698
49.706271,100,373.513671
59.607866,100,374.054879
53.992842,100,374.600368
56.57411,100,375.158974
49.652275,100,375.690107
82.560527,100,376.189209
52.679492,100,376.703729
65.514582,100,377.165725
83.584661,100,377.694592
32.075104,100,378.203203
66.626225,100,378.712068
71.321854,100,379.232911
74.178267,100,379.745483
43.463623,100,380.250705
83.64085,100,380.7575
52.479316,100,381.258298
3.722791,100,381.725805
59.786003,100,382.244852
38.523335,100,382.761955
52.480623,100,383.260556
69.724168,100,383.776297
44.364407,100,384.327945
82.552967,100,384.843974
74.567411,100,385.367944
75.894664,100,385.866893
53.83947,100,386.362776
59.032782,100,386.935053
54.545577,100,387.482899
34.556129,100,387.987421
81.653156,100,388.548857
51.523766,100,389.082418
81.515702,100,389.659271
39.696831,100,390.201975
68.540606,100,390.77849
45.909283,100,391.306828
73.958997,100,391.823166
71.158173,100,392.353858
52.95305,100,392.953562
39.994414,100,393.531657
55.605676,100,394.164299
63.619604,100,394.700801
59.947037,100,395.222878
55.646132,100,395.776175
63.287386,100,396.306192
83.353618,100,396.890916
31.949665,100,397.43362
66.490371,100,397.958391
55.020724,100,398.50667
82.175417,100,399.055418
48.697468,100,399.586375
81.967125,100,400.137667
69.286328,100,400.639568
75.68664,100,401.119458
79.805468,100,401.640221
71.720227,100,402.181499
54.304082,100,402.6411
73.153933,100,403.146252
81.95902,100,403.632154
73.897934,100,404.134183
50.780776,100,404.658361
76.716034,100,405.218294
46.25253,100,405.705197
68.903825,100,406.190623
47.484322,100,406.657802
75.861818,100,407.154331
58.383187,100,407.616775
45.682366,100,408.082665
58.06991,100,408.595814
42.109805,100,409.164748
81.997253,100,409.631444
66.64713,100,410.134257
83.1562,100,410.649635
56.472864,100,411.124876
55.329516,100,411.601124
79.18303,100,412.106896
55.498694,100,412.581602
52.752512,100,413.091058
77.711281,100,413.595347
66.628116,100,414.0889
50.345784,100,414.565062
44.149127,100,415.053129
74.928973,100,415.534015
65.656691,100,416.021231
81.990619,100,416.510271
46.83315,100,416.991708
82.90998,100,417.49821
43.900493,100,417.983357
59.758904,100,418.493541
55.971218,100,418.975962
48.610062,100,419.454532
81.298752,100,419.957732
53.273861,100,420.42912
77.442802,100,420.909543
66.152077,100,421.396858
83.537475,100,421.903545
66.365375,100,422.419451
80.879193,100,422.926561
47.373605,100,423.427839
54.293317,100,423.925408
51.176413,100,424.415532
46.677854,100,424.910342
46.494545,100,425.480563
70.709443,100,426.12259
60.428468,100,426.734163
78.691868,100,427.275494
79.145387,100,427.820735
59.532095,100,428.301024
50.94673,100,428.781179
76.403878,100,429.25903
68.385604,100,429.774595
78.208225,100,430.253919
70.274077,100,430.713676
73.862236,100,431.202581
84.492008,100,431.779572
50.22316,100,432.28241
83.064915,100,432.796781
77.184328,100,433.286678
41.537572,100,433.762082
72.82756,100,434.251678
48.577878,100,434.766205
48.960587,100,435.265433
